iter	Passed	Remaining
297	4710	11096
298	4723	11074
299	4736	11052
300	4749	11030
301	4761	11004
302	4773	10981
303	4786	10959
304	4802	10943
305	4815	10920
306	4828	10899
307	4841	10877
308	4854	10856
309	4866	10832
310	4880	10812
311	4893	10790
312	4906	10769
313	4919	10747
314	4932	10727
315	4946	10707
316	4959	10686
317	4973	10665
318	4986	10645
319	4999	10623
320	5023	10626
321	5056	10647
322	5073	10633
323	5089	10617
324	5103	10599
325	5116	10579
326	5130	10558
327	5143	10537
328	5156	10517
329	5169	10496
330	5182	10475
331	5198	10459
332	5210	10437
333	5224	10417
334	5237	10396
335	5249	10373
336	5262	10353
337	5275	10332
338	5287	10310
339	5299	10287
340	5312	10265
341	5325	10246
342	5337	10224
343	5349	10201
344	5361	10178
345	5373	10157
346	5385	10135
347	5399	10117
348	5419	10108
349	5437	10099
350	5455	10086
351	5468	10067
352	5485	10053
353	5498	10034
354	5511	10014
355	5524	9993
356	5537	9974
357	5549	9952
358	5565	9936
359	5578	9916
360	5590	9896
361	5603	9875
362	5616	9855
363	5629	9836
364	5642	9817
365	5655	9797
366	5669	9778
367	5681	9757
368	5694	9738
369	5707	9718
370	5719	9697
371	5732	9677
372	5746	9659
373	5758	9639
374	5772	9621
375	5786	9602
376	5799	9583
377	5812	9564
378	5826	9546
379	5840	9529
380	5853	9510
381	5866	9491
382	5879	9472
383	5892	9452
384	5904	9432
385	5917	9413
386	5931	9394
387	5944	9376
388	5957	9358
389	5971	9339
390	5984	9320
391	5997	9301
392	6015	9291
393	6028	9272
394	6043	9256
395	6055	9236
396	6069	9218
397	6085	9204
398	6116	9213
399	6142	9213
400	6160	9202
401	6172	9182
402	6185	9162
403	6199	9145
404	6212	9126
405	6224	9107
406	6238	9088
407	6250	9070
408	6264	9051
409	6277	9033
410	6290	9014
411	6302	8994
412	6316	8977
413	6329	8958
414	6342	8940
415	6356	8923
416	6369	8904
417	6382	8886
418	6394	8867
419	6407	8848
420	6420	8830
421	6434	8812
422	6447	8794
423	6460	8776
424	6473	8758
425	6491	8747
426	6513	8740
427	6530	8727
428	6545	8711
429	6557	8692
430	6570	8674
431	6583	8655
432	6596	8637
433	6609	8620
434	6623	8603
435	6636	8585
436	6650	8568
437	6664	8551
438	6677	8533
439	6690	8515
440	6702	8496
441	6714	8477
442	6726	8457
443	6739	8439
444	6763	8435
445	6783	8426
446	6806	8420
447	6820	8403
448	6834	8386
449	6846	8367
450	6860	8350
451	6872	8332
452	6884	8313
453	6896	8294
454	6908	8274
455	6922	8258
456	6934	8239
457	6946	8221
458	6966	8210
459	6987	8202
460	7004	8189
461	7017	8171
462	7030	8154
463	7044	8137
464	7056	8118
465	7068	8099
466	7080	8081
467	7094	8064
468	7106	8046
469	7128	8038
470	7156	8037
471	7172	8023
472	7191	8012
473	7204	7995
474	7221	7982
475	7236	7966
476	7250	7949
477	7263	7932
478	7277	7915
479	7290	7897
480	7302	7879
481	7320	7867
482	7340	7857
483	7361	7848
484	7375	7831
485	7392	7817
486	7407	7803
487	7421	7786
488	7437	7771
489	7449	7753
490	7462	7736
491	7475	7718
492	7491	7703
493	7503	7686
494	7515	7667
495	7529	7651
496	7556	7647
497	7569	7630
498	7589	7620
499	7604	7604
500	7619	7589
501	7633	7573
502	7647	7556
503	7660	7539
504	7675	7523
505	7689	7507
506	7702	7490
507	7716	7473
508	7730	7457
509	7745	7441
510	7757	7423
511	7772	7407
512	7785	7390
513	7798	7373
514	7811	7356
515	7827	7342
516	7841	7325
517	7856	7310
518	7869	7293
519	7889	7282
520	7902	7265
521	7918	7250
522	7931	7234
523	7945	7218
524	7957	7199
525	7972	7183
526	7984	7166
527	7997	7149
528	8012	7134
529	8029	7120
530	8045	7106
531	8064	7094
532	8079	7079
533	8106	7073
534	8134	7070
535	8174	7076
536	8208	7077
537	8233	7070
538	8262	7066
539	8287	7059
540	8307	7047
541	8351	7057
542	8374	7048
543	8394	7036
544	8415	7025
545	8430	7010
546	8450	6998
547	8461	6979
548	8474	6961
549	8488	6945
550	8505	6931
551	8521	6915
552	8534	6898
553	8549	6882
554	8565	6868
555	8579	6851
556	8595	6836
557	8616	6825
558	8634	6811
559	8650	6796
560	8665	6781
561	8680	6765
562	8695	6749
563	8708	6731
564	8724	6717
565	8739	6701
566	8758	6688
567	8776	6675
568	8791	6659
569	8804	6641
570	8818	6625
571	8835	6611
572	8850	6595
573	8867	6581
574	8882	6565
575	8895	6547
576	8906	6529
577	8924	6515
578	8940	6500
579	8955	6484
580	8968	6468
581	8985	6453
582	9000	6438
583	9015	6421
584	9030	6406
585	9043	6389
586	9058	6373
587	9072	6357
588	9086	6340
589	9100	6324
590	9114	6307
591	9128	6291
592	9145	6276
593	9158	6260
594	9173	6244
595	9188	6228
596	9201	6211
597	9216	6195
598	9232	6180
599	9247	6164
600	9262	6149
601	9276	6133
602	9292	6117
603	9307	6102
604	9320	6085
605	9335	6069
606	9360	6060
607	9377	6045
608	9405	6038
609	9424	6025
610	9440	6010
611	9452	5993
612	9467	5977
613	9482	5961
614	9494	5943
615	9508	5927
616	9527	5913
617	9542	5898
618	9557	5882
619	9571	5866
620	9585	5849
621	9600	5834
622	9616	5819
623	9630	5803
624	9643	5786
625	9656	5769
626	9671	5753
627	9689	5739
628	9709	5727
629	9725	5711
630	9742	5697
631	9757	5681
632	9774	5667
633	9789	5651
634	9802	5634
635	9817	5618
636	9833	5603
637	9848	5588
638	9864	5572
639	9877	5556
640	9892	5540
641	9905	5523
642	9919	5507
643	9935	5492
644	9950	5476
645	9968	5462
646	9986	5448
647	10000	5432
648	10014	5416
649	10027	5399
650	10041	5383
651	10057	5367
652	10071	5351
653	10086	5336
654	10100	5319
655	10115	5304
656	10127	5287
657	10141	5271
658	10153	5253
659	10165	5237
660	10179	5220
661	10198	5207
662	10213	5191
663	10228	5175
664	10243	5160
665	10258	5144
666	10272	5128
667	10291	5114
668	10307	5099
669	10322	5084
670	10338	5068
671	10353	5053
672	10366	5036
673	10380	5020
674	10393	5004
675	10412	4990
676	10426	4974
677	10455	4965
678	10473	4951
679	10486	4934
680	10501	4919
681	10516	4903
682	10534	4889
683	10547	4872
684	10562	4857
685	10575	4840
686	10588	4824
687	10602	4808
688	10616	4791
689	10632	4776
690	10652	4763
691	10666	4747
692	10680	4731
693	10695	4715
694	10710	4700
695	10724	4684
696	10739	4668
697	10759	4655
698	10776	4640
699	10790	4624
700	10807	4609
701	10829	4597
702	10848	4583
703	10864	4568
704	10882	4553
705	10900	4539
706	10914	4523
707	10931	4508
708	10944	4491
709	10966	4479
710	10983	4464
711	10997	4448
712	11017	4434
713	11039	4421
714	11055	4406
715	11068	4390
716	11091	4377
717	11104	4361
718	11119	4345
719	11134	4330
720	11150	4314
721	11173	4302
722	11184	4285
723	11197	4268
724	11211	4252
725	11226	4237
726	11241	4221
727	11256	4205
728	11272	4190
729	11293	4177
730	11311	4162
731	11323	4145
732	11337	4129
733	11352	4114
734	11373	4100
735	11392	4086
736	11415	4073
737	11438	4060
738	11454	4045
739	11465	4028
740	11480	4012
741	11500	3998
742	11517	3983
743	11532	3968
744	11569	3959
745	11582	3943
746	11596	3927
747	11610	3911
748	11629	3897
749	11642	3880
750	11661	3866
751	11674	3850
752	11689	3834
753	11706	3819
754	11723	3804
755	11737	3788
756	11761	3775
757	11780	3760
758	11794	3745
759	11812	3730
760	11829	3715
761	11853	3702
762	11879	3689
763	11896	3674
764	11913	3659
765	11931	3644
766	11946	3629
767	11960	3613
768	11976	3597
769	11992	3582
770	12011	3567
771	12031	3553
772	12053	3539
773	12065	3522
774	12085	3508
775	12099	3492
776	12113	3476
777	12128	3460
778	12141	3444
779	12157	3429
780	12173	3413
781	12192	3398
782	12205	3382
783	12221	3367
784	12240	3352
785	12259	3337
786	12283	3324
787	12300	3309
788	12316	3293
789	12332	3278
790	12346	3262
791	12361	3246
792	12380	3231
793	12394	3215
794	12409	3199
795	12422	3183
796	12436	3167
797	12452	3152
798	12474	3138
799	12488	3122
800	12503	3106
801	12518	3090
802	12536	3075
803	12556	3060
804	12583	3048
805	12603	3033
806	12635	3021
807	12648	3005
808	12669	2991
809	12684	2975
810	12700	2959
811	12714	2943
812	12727	2927
813	12743	2911
814	12759	2896
815	12773	2880
816	12788	2864
817	12802	2848
818	12816	2832
819	12829	2816
820	12842	2800
821	12855	2783
822	12873	2768
823	12890	2753
824	12911	2738
825	12925	2722
826	12947	2708
827	12965	2693
828	12979	2677
829	12992	2661
830	13008	2645
831	13027	2630
832	13046	2615
833	13065	2600
834	13087	2586
835	13103	2570
836	13120	2555
837	13134	2539
838	13150	2523
839	13165	2507
840	13182	2492
841	13206	2478
842	13221	2462
843	13234	2446
844	13248	2430
845	13265	2414
846	13280	2398
847	13307	2385
848	13323	2369
849	13337	2353
850	13354	2338
851	13371	2322
852	13382	2306
853	13399	2290
854	13412	2274
855	13431	2259
856	13444	2243
857	13458	2227
858	13473	2211
859	13488	2195
860	13502	2179
861	13523	2165
862	13542	2149
863	13562	2134
864	13579	2119
865	13598	2104
866	13617	2088
867	13631	2072
868	13656	2058
869	13669	2042
870	13684	2026
871	13702	2011
872	13717	1995
873	13731	1979
874	13745	1963
875	13765	1948
876	13781	1932
877	13796	1917
878	13814	1901
879	13830	1885
880	13845	1870
881	13866	1855
882	13888	1840
883	13908	1825
884	13925	1809
885	13942	1793
886	13964	1778
887	13977	1762
888	13991	1746
889	14004	1730
890	14022	1715
891	14040	1699
892	14054	1683
893	14069	1668
894	14083	1652
895	14101	1636
896	14119	1621
897	14133	1605
898	14146	1589
899	14158	1573
900	14173	1557
901	14186	1541
902	14200	1525
903	14214	1509
904	14229	1493
905	14245	1477
906	14259	1462
907	14276	1446
908	14292	1430
909	14309	1415
910	14324	1399
911	14337	1383
912	14351	1367
913	14366	1351
914	14379	1335
915	14393	1319
916	14412	1304
917	14429	1288
918	14447	1273
919	14459	1257
920	14475	1241
921	14491	1225
922	14506	1210
923	14520	1194
924	14534	1178
925	14555	1163
926	14572	1147
927	14586	1131
928	14598	1115
929	14613	1099
930	14627	1084
931	14641	1068
932	14657	1052
933	14671	1036
934	14689	1021
935	14703	1005
936	14718	989
937	14732	973
938	14752	958
939	14765	942
940	14792	927
941	14809	911
942	14824	896
943	14841	880
944	14855	864
945	14869	848
946	14882	832
947	14904	817
948	14920	801
949	14938	786
950	14953	770
951	14966	754
952	14980	738
953	14993	722
954	15007	707
955	15024	691
956	15039	675
957	15055	660
958	15070	644
959	15085	628
960	15101	612
961	15117	597
962	15131	581
963	15146	565
964	15161	549
965	15176	534
966	15193	518
967	15207	502
968	15223	487
969	15235	471
970	15248	455
971	15260	439
972	15276	423
973	15290	408
974	15304	392
975	15321	376
976	15335	361
977	15350	345
978	15367	329
979	15386	314
980	15402	298
981	15416	282
982	15430	266
983	15444	251
984	15457	235
985	15471	219
986	15483	203
987	15496	188
988	15513	172
989	15530	156
990	15545	141
991	15560	125
992	15572	109
993	15585	94
994	15598	78
995	15617	62
996	15630	47
997	15643	31
998	15657	15
999	15671	0
